,Agency,Date,Description,Incident#,Location
184,Champaign Police,8-22-2020 10:39 AM,BATTERY-DOMESTIC,CC2005175,1600  BLOCK  HEDGE RD
185,Champaign Police,8-22-2020 7:30 AM,CRIMINAL DAMAGE TO PROPERTY,CC2005171,100  BLOCK S WRIGHT ST
186,Champaign Police,8-21-2020 11:10 PM,THEFT-MOTOR VEHICLE,CC2005172,0  BLOCK E GREEN ST
187,Champaign Police,8-21-2020 10:00 PM,BURGLARY FROM MOTOR VEHICLE,CC2005183,0  BLOCK E GREEN ST
188,Champaign Police,8-21-2020 8:48 PM,BATTERY-DOMESTIC,CC2005164,2100  BLOCK W WHITE ST
189,Champaign Police,8-21-2020 4:25 PM,BATTERY,CC2005158,600  BLOCK E COLUMBIA AV
190,Champaign Police,8-21-2020 9:00 AM,BURGLARY FROM MOTOR VEHICLE,CC2005150,200  BLOCK W COLUMBIA AV
191,Champaign Police,8-21-2020 6:00 AM,BATTERY,CC2005147,2400  BLOCK N PROSPECT AV
192,Champaign Police,8-21-2020 1:56 AM,THEFT OVER $500,CC2005138,ANTHONY DR  & CAMPBELL DR
193,Champaign Police,8-20-2020 9:30 PM,THEFT-MOTOR VEHICLE,CC2005137,3200  BLOCK  KATIE LYNN DR
194,Champaign Police,8-20-2020 7:00 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005136,2200  BLOCK N PROSPECT AV
195,Champaign Police,8-20-2020 6:07 PM,VIOLATION ORDER PROTECTION,CC2005132,1400  BLOCK  SUMMIT RIDGE RD
196,Champaign Police,8-20-2020 6:00 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005149,1200  BLOCK N WALNUT ST
197,Champaign Police,8-20-2020 3:23 PM,THEFT $500 AND UNDER,CC2005241,2100  BLOCK N PROSPECT AV
198,Champaign Police,8-20-2020 2:15 PM,FORGERY,CC2005123,0  BLOCK  MAIN ST
199,Champaign Police,8-20-2020 2:15 PM,BURGLARY,CC2005125,2500  BLOCK W SPRINGFIELD AV
200,Champaign Police,8-20-2020 12:45 PM,DECEPTIVE PRACTICES,CC2005126,600  BLOCK E WHITE ST
201,Champaign Police,8-20-2020 12:00 PM,DECEPTIVE PRACTICES,CC2005121,3100  BLOCK  SARATOGA DR
202,Champaign Police,8-20-2020 12:00 PM,TELEPHONE THREAT,CC2005130,800  BLOCK  HARRIS AV
203,Champaign Police,8-20-2020 9:12 AM,THEFT-IDENTITY,CC2005117,1100  BLOCK W DANIEL ST
204,Champaign Police,8-20-2020 3:48 AM,CONTROLLED SUBSTANCE-POSSESSION,CC2005115,THIRD   & BEARDSLEY
205,Champaign Police,8-20-2020 3:17 AM,BURGLARY FROM MOTOR VEHICLE,CC2005120,2000  BLOCK W BRADLEY AV
206,Champaign Police,8-20-2020 1:51 AM,AGG DISCHARGE OF FIREARM,CC2005114,400  BLOCK E HILL ST
207,Champaign Police,8-20-2020 12:25 AM,BATTERY -CITY,CC2005113,0  BLOCK E MAIN ST
208,Champaign Police,8-19-2020 10:00 PM,BURGLARY,CC2005116,1200  BLOCK N MATTIS AV
209,Champaign Police,8-19-2020 7:30 PM,BATTERY-AGGRAVATED,CC2005105,1800  BLOCK W BRADLEY AV
210,Champaign Police,8-19-2020 6:00 PM,THEFT $500 AND UNDER,CC2005108,1700  BLOCK W JOHN ST
211,Champaign Police,8-19-2020 5:58 PM,FRAUD-CREDIT CARD,CC2005106,1200  BLOCK N PROSPECT AV
212,Champaign Police,8-19-2020 2:12 PM,AGG DISCHARGE OF FIREARM,CC2005100,FOURTH ST  & TREMONT
213,Champaign Police,8-19-2020 11:00 AM,THEFT OVER $500,CC2005110,500  BLOCK S THIRD ST
214,Champaign Police,8-19-2020 8:00 AM,DECEPTIVE PRACTICES,CC2005266,100  BLOCK W UNIVERSITY
215,Champaign Police,8-19-2020 6:00 AM,THEFT OVER $500,CC2005238,2300  BLOCK W JOHN ST
216,Champaign Police,8-18-2020 10:51 PM,ASSAULT-AGGRAVATED,CC2005089,100  BLOCK E CHURCH ST
217,Champaign Police,8-18-2020 10:00 PM,BURGLARY RESIDENTIAL,CC2005099,2500  BLOCK W SPRINGFIELD AV
218,Champaign Police,8-18-2020 9:45 PM,BATTERY-AGGRAVATED,CC2005088,100  BLOCK S MATTIS AV
219,Champaign Police,8-18-2020 8:30 PM,THEFT-MOTOR VEHICLE,CC2005090,300  BLOCK S FIRST ST
220,Champaign Police,8-18-2020 5:00 PM,BATTERY,CC2005093,600  BLOCK W HEALEY ST
221,Champaign Police,8-18-2020 4:54 PM,HOME INVASION,CC2005080,600  BLOCK W UNIVERSITY AV
222,Champaign Police,8-18-2020 3:20 PM,VIOLATION ORDER PROTECTION,CC2005077,700  BLOCK N PROSPECT AV
223,Champaign Police,8-18-2020 3:04 PM,CRIMINAL DAMAGE TO PROPERTY,CC2005084,1300  BLOCK  NORTH LOCK RAVEN RD
